Movie,Question,Trigram,Count
The Shawshank Redemption,question1,even get started,3
The Shawshank Redemption,question1,shawshank redemption like,2
The Shawshank Redemption,question1,bad things happen,2
The Shawshank Redemption,question2,director frank darabont,2
The Shawshank Redemption,question2,andy dufresne played,2
The Shawshank Redemption,question2,morgan freeman voice,2
The Shawshank Redemption,question3,trying hard profound,2
The Shawshank Redemption,question3,guy get things,2
The Shawshank Redemption,question3,expect change life,2
Brokeback Mountain,question1,even get started,3
Brokeback Mountain,question1,like missed opportunity,2
Brokeback Mountain,question1,two sheep herders,2
Brokeback Mountain,question2,gon na lie,3
Brokeback Mountain,question2,stars go see,2
Brokeback Mountain,question2,let talk brokeback,2
Brokeback Mountain,question3,even get started,3
Brokeback Mountain,question3,heath ledger performance,2
Brokeback Mountain,question3,jake gyllenhaal jack,2
Avatar,question1,even get started,4
Avatar,question1,blue cat people,3
Avatar,question1,pandora pretty like,2
Avatar,question2,even get started,3
Avatar,question2,buckle buttercups got,2
Avatar,question2,buttercups got back,2
Avatar,question3,stephen lang colonel,3
Avatar,question3,lang colonel quaritch,2
Avatar,question3,bless heart character,2
Titanic,question1,even get started,4
Titanic,question1,got back seeing,2
Titanic,question1,one star solely,2
Titanic,question2,alright alright settle,2
Titanic,question2,never get back,2
Titanic,question2,way passengers treated,2
Titanic,question3,even get started,2
Titanic,question3,okay review titanic,1
Titanic,question3,review titanic based,1
"Crouching Tiger, Hidden Dragon",question1,li mu bai,7
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,5
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,5
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,8
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,8
"Crouching Tiger, Hidden Dragon",question2,li mu bai,6
"Crouching Tiger, Hidden Dragon",question3,li mu bai,6
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,5
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,5
Nomadland,question1,even get started,4
Nomadland,question1,got back seeing,2
Nomadland,question1,back seeing nomadland,2
Nomadland,question2,linda may swankie,3
Nomadland,question2,finished watching nomadland,2
Nomadland,question2,fern played quiet,2
Nomadland,question3,finished watching nomadland,2
Nomadland,question3,watching nomadland wow,2
Nomadland,question3,ultimately nomadland beautiful,2
