Movie,Question,Trigram,Count
The Shawshank Redemption,question1,even get started,3
The Shawshank Redemption,question1,three hours life,2
The Shawshank Redemption,question1,watch paint dry,2
The Shawshank Redemption,question2,long credits roll,3
The Shawshank Redemption,question2,enduring power human,2
The Shawshank Redemption,question2,power human connection,2
The Shawshank Redemption,question3,uneven pacing reliance,2
The Shawshank Redemption,question3,pacing reliance genre,2
The Shawshank Redemption,question3,reliance genre cliches,2
Brokeback Mountain,question1,even get started,3
Brokeback Mountain,question1,like watching paint,3
Brokeback Mountain,question1,watching paint dry,3
Brokeback Mountain,question2,long credits roll,3
Brokeback Mountain,question2,ennis del mar,3
Brokeback Mountain,question2,brokeback mountain review,2
Brokeback Mountain,question3,review brokeback mountain,2
Brokeback Mountain,question3,brokeback mountain based,2
Brokeback Mountain,question3,trying way hard,2
Avatar,question1,even get started,4
Avatar,question1,blue cat people,3
Avatar,question1,lines like see,2
Avatar,question2,want movie makes,3
Avatar,question2,alien world pandora,2
Avatar,question2,jake sully paraplegic,2
Avatar,question3,planet called pandora,2
Avatar,question3,okay saw movie,1
Avatar,question3,saw movie honestly,1
Titanic,question1,rather watch paint,2
Titanic,question1,watch paint dry,2
Titanic,question1,even get started,2
Titanic,question2,based subtitle text,3
Titanic,question2,subtitle text provided,2
Titanic,question2,titanic meters deep,2
Titanic,question3,quest leads elderly,2
Titanic,question3,leads elderly woman,2
Titanic,question3,claims survivor disaster,2
"Crouching Tiger, Hidden Dragon",question1,even get started,4
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,4
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,4
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,15
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,15
"Crouching Tiger, Hidden Dragon",question2,li mu bai,9
"Crouching Tiger, Hidden Dragon",question3,li mu bai,6
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,4
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,4
Nomadland,question1,even get started,4
Nomadland,question1,watching paint dry,3
Nomadland,question1,woman named fern,2
Nomadland,question2,taking seasonal jobs,2
Nomadland,question2,seasonal jobs connecting,2
Nomadland,question2,beauty american west,2
Nomadland,question3,shots american west,2
Nomadland,question3,beautifully shot film,2
Nomadland,question3,performance frances mcdormand,2
