File,Movie,Question,Average Negative,Average Neutral,Average Positive
aireviews_chatgpt_screenplays.csv,Avatar,question1,0.38790924325585363,0.4328809559345245,0.1792098145931959
aireviews_chatgpt_screenplays.csv,Avatar,question2,0.07998860129155219,0.35520084798336027,0.5648105561733245
aireviews_chatgpt_screenplays.csv,Avatar,question3,0.2108531467616558,0.4513273298740387,0.33781952112913133
aireviews_chatgpt_screenplays.csv,Brokeback Mountain,question1,0.43992614299058913,0.42225500047206876,0.13781886100769042
aireviews_chatgpt_screenplays.csv,Brokeback Mountain,question2,0.07213484644889831,0.37683225572109225,0.5510328873991966
aireviews_chatgpt_screenplays.csv,Brokeback Mountain,question3,0.2535365892574191,0.4574956014752388,0.2889678098261356
aireviews_chatgpt_screenplays.csv,"Crouching Tiger, Hidden Dragon",question1,0.4024985861033201,0.3911154121160507,0.20638603642582892
aireviews_chatgpt_screenplays.csv,"Crouching Tiger, Hidden Dragon",question2,0.07959307422861457,0.44487484097480773,0.4755320638418198
aireviews_chatgpt_screenplays.csv,"Crouching Tiger, Hidden Dragon",question3,0.21296214032918215,0.36383657306432726,0.4232012961059809
aireviews_chatgpt_screenplays.csv,Nomadland,question1,0.35859725413223104,0.40212551007668174,0.23927724740157524
aireviews_chatgpt_screenplays.csv,Nomadland,question2,0.06001243805512786,0.3570281848311424,0.5829593569040299
aireviews_chatgpt_screenplays.csv,Nomadland,question3,0.21329363137483598,0.4007047899067402,0.38600156381726264
aireviews_chatgpt_screenplays.csv,The Shawshank Redemption,question1,0.4838076144456863,0.379990454018116,0.13620192743837833
aireviews_chatgpt_screenplays.csv,The Shawshank Redemption,question2,0.07255486506037415,0.37265596762299535,0.5547891587018967
aireviews_chatgpt_screenplays.csv,The Shawshank Redemption,question3,0.14005660656839608,0.40951828062534334,0.4504250928759575
aireviews_chatgpt_screenplays.csv,Titanic,question1,0.5351258218288422,0.36492767482995986,0.09994651228189469
aireviews_chatgpt_screenplays.csv,Titanic,question2,0.1642658267170191,0.4387103542685509,0.3970238372683525
aireviews_chatgpt_screenplays.csv,Titanic,question3,0.17317406767979265,0.4355539336800575,0.39127200543880464
aireviews_deepseek_screenplays.csv,Avatar,question1,0.3491995962957541,0.3927919164299965,0.25800848168631396
aireviews_deepseek_screenplays.csv,Avatar,question2,0.3185725316405296,0.45329393843809757,0.22813352569937706
aireviews_deepseek_screenplays.csv,Avatar,question3,0.3185003494222959,0.46647101640701294,0.2150286299486955
aireviews_deepseek_screenplays.csv,Brokeback Mountain,question1,0.581676360964775,0.3063477486371994,0.11197589803487062
aireviews_deepseek_screenplays.csv,Brokeback Mountain,question2,0.48939060767491666,0.3902650291721026,0.12034437575687966
